date_id,full_date,year,quarter,quarter_name,month,month_name,day_of_week,day_name,is_weekend,is_holiday,fiscal_year,fiscal_quarter,fiscal_month,week_of_year,shift_name,season
1,2025-01-01,2025,1,Q1,1,January,4,Wednesday,1,1,2025,1,1,1,Morning,Rainy
2,2025-01-02,2025,1,Q1,1,January,5,Thursday,0,0,2025,1,1,1,Morning,Rainy
3,2025-01-03,2025,1,Q1,1,January,6,Friday,0,0,2025,1,1,1,Morning,Rainy
4,2025-01-06,2025,1,Q1,1,January,2,Monday,0,0,2025,1,1,2,Morning,Rainy
5,2025-01-07,2025,1,Q1,1,January,3,Tuesday,0,0,2025,1,1,2,Afternoon,Rainy
6,2025-01-08,2025,1,Q1,1,January,4,Wednesday,0,0,2025,1,1,2,Night,Rainy
7,2025-01-13,2025,1,Q1,1,January,2,Monday,0,0,2025,1,1,3,Morning,Rainy
8,2025-01-14,2025,1,Q1,1,January,3,Tuesday,0,0,2025,1,1,3,Afternoon,Rainy
9,2025-01-15,2025,1,Q1,1,January,4,Wednesday,0,0,2025,1,1,3,Night,Rainy
10,2025-01-20,2025,1,Q1,1,January,2,Monday,0,0,2025,1,1,4,Morning,Rainy
